
Prospect Name,Company,Title,LinkedIn URL,1-line Role Summary,Specific Detail,Hypothesized Pain
Sourabh Jain,Kaiser Permanente,"Executive Director, HR Products & Technology",https://www.linkedin.com/search/results/all/?keywords=Sourabh%20Jain%20Kaiser%20Permanente,Exec Director leading HR products & technology at Kaiser Permanente,Recently promoted; previously Senior Director Solution Architecture & Benefits Product,Modernizing HR tech platforms; ensuring quality & reducing manual QA
Amir R. Kashani PhD,"Stanley Black & Decker, Inc.",Director AI and Digital Product Development,https://www.linkedin.com/search/results/all/?keywords=Amir%20R.%20Kashani%20Stanley%20Black%20%26%20Decker,Leads AI and digital product development at Stanley Black & Decker,"AI researcher, shares AI posts; previously Senior Global Technical Program Manager (AI, IoT)",Scaling AI innovation with reliable product quality; exploring AI test automation
Vishal Shah,Cboe Global Markets,Software Engineering Manager,https://www.linkedin.com/search/results/all/?keywords=Vishal%20Shah%20Cboe%20Global%20Markets,Leading and managing the web software engineering team for Europe at Cboe to develop financial and operational web applications,Progressed at Cboe from software engineer to team lead and now manager over six years,Need to reduce regression time and improve reliability for financial web apps while complying with regulations
Doron Mazor,Tenable,Senior Software Engineering Manager,https://www.linkedin.com/search/results/all/?keywords=Doron%20Mazor%20Tenable,"Leading software engineering at Tenable, building exposure management solutions",Joined Tenable two years ago after six years at Microsoft as a senior software engineer,Keeping automated tests in step with frequent releases and complex security products
Krishna Chaitanya Emani,Silicon Labs,Senior Software QA Engineering Manager,https://www.linkedin.com/search/results/all/?keywords=Krishna%20Chaitanya%20Emani%20Silicon%20Labs,Leading Wi-Fi certification and co-existence test teams at Silicon Labs,Over four years at Silicon Labs after nearly a decade at Qualcomm in senior engineering roles,Shortening certification cycles and reducing manual effort in complex wireless and IoT testing
Erez Binia,VAST Data,QA Architect,,QA Architect at VAST Data focusing on unified data platform quality,Promoted from Senior QA Engineer to QA Architect during six years at VAST Data; previously QA manager at Kaminario,Expanding coverage and reducing test maintenance time for data storage and AI workloads
Stuart Quine,N-able,Director - DevOps,,Director of DevOps at N-able leading cloud-based security and endpoint management software teams,Over four years at N-able progressing from Senior Manager and DevOps Engineer after prior roles at SolarWinds and Mastercard,Managing complex DevOps pipelines and ensuring reliability for MSP security products with limited automation
Hem Singh,Silicon Labs,QA Engineering Manager,,"QA Engineering Manager at Silicon Labs overseeing wireless, networking and IoT test teams",Previously Principal Engineer & Architect at VDN Technologies and Volansys and Lead QA Engineer at OnePlus focusing on wireless and IoT products,Automating QA for wireless and IoT products to reduce manual testing and accelerate certification cycles
Rafaela Robertson,Netflix,Software Engineering Manager,,"Engineering Manager at Netflix focusing on security, GenAI and live streaming","Former Brex Brazil Hub Lead and StockX Engineering Manager with experience across fintech and e-commerce, mentor and speaker",Balancing rapid innovation in AI and streaming with maintaining security and reliability across multiple platforms
Khyati Sheth,Tesla,Engineering Manager,,Engineering Manager at Tesla leading software teams for EV and energy products,Over a decade at Tesla progressing from Senior Software Engineer to Staff Software Engineer and Engineering Manager,Ensuring quality and safety across complex EV software projects while accelerating release cycles
